ID,Soil_Type,Region,Irrigation,pH,Moisture,Nitrogen,Phosphorus,Potassium,Organic_Matter,Electrical_Conductivity,Bulk_Density,Clay_Percent,Temperature,Rainfall_7d,Sunlight_hours,Slope,Suitability
539,Sandy,Hill,Sprinkler,6.49,29.303,68.535,24.328,136.367,3.624,1.018,1.662,16.519,21.509,28.141,5.632,10.408,Favorable
540,Loam,Hill,None,6.644,25.059,79.011,49.886,157.387,3.069,1.063,1.527,28.701,24.169,31.377,7.432,9.108,Favorable
541,Silt,Plain,None,6.355,21.838,102.133,67.195,160.116,3.688,0.777,1.329,22.508,20.81,10.076,6.757,8.334,Favorable
542,Clay,Plain,None,6.529,7.947,115.092,74.098,224.349,3.38,1.181,1.381,45.284,27.598,15.011,7.685,9.948,Unfavorable
543,Clay,Plain,Sprinkler,7.437,28.287,132.985,34.471,173.917,2.305,1.107,1.699,49.157,19.988,41.54,7.689,0.0,Favorable
544,Clay,Plain,Sprinkler,6.995,31.166,107.082,28.136,168.165,3.893,1.605,1.403,50.983,21.528,40.991,6.952,2.687,Favorable
545,Loam,Plain,Sprinkler,7.281,26.633,104.765,63.628,142.413,1.428,1.195,1.4,25.724,14.66,13.481,7.952,1.646,Favorable
546,Loam,Hill,Sprinkler,6.375,20.19,109.68,51.951,130.653,2.783,1.167,1.284,26.596,17.797,25.716,8.876,10.221,Favorable
547,Loam,Hill,None,6.681,11.236,142.625,62.578,183.329,3.438,1.204,1.494,31.141,29.574,19.561,4.303,7.761,Favorable
548,Loam,Hill,None,7.027,11.65,81.111,40.115,144.879,3.554,0.365,1.247,37.944,18.697,42.485,7.87,12.757,Favorable
549,Sandy,Plain,None,6.899,14.797,117.232,61.102,87.736,2.767,0.917,1.437,17.144,22.256,28.34,5.397,2.563,Favorable
550,Clay,Hill,None,7.304,9.932,107.595,62.738,180.839,,1.387,1.43,49.918,27.616,52.447,6.269,10.289,Unfavorable
551,Sandy,Hill,Sprinkler,6.513,19.637,90.305,38.661,109.67,2.386,0.23,1.593,2.821,16.117,59.876,8.17,9.119,Favorable
552,Clay,Plain,None,6.083,23.332,116.575,52.057,198.261,3.996,1.253,1.464,59.696,16.993,67.179,6.29,0.0,Favorable
553,Sandy,Plain,Sprinkler,6.609,24.335,107.74,37.666,112.485,2.517,0.828,1.679,1.268,14.778,8.798,5.487,1.566,Favorable
554,Sandy,Plain,None,6.678,31.643,74.066,51.753,100.376,2.908,1.173,1.557,5.568,22.493,4.057,7.664,0.0,Favorable
555,Clay,Plain,Drip,6.782,24.189,138.843,31.815,175.247,1.776,1.012,1.319,49.347,18.387,47.303,8.654,7.125,Favorable
556,Loam,Hill,None,6.925,20.747,99.978,35.751,134.618,1.846,0.473,1.46,24.801,14.321,34.581,9.695,2.202,Favorable
557,Sandy,Hill,None,6.955,12.349,66.011,30.007,96.771,2.806,0.425,1.632,5.611,15.697,4.536,6.295,8.975,Unfavorable
558,Loam,Plain,Sprinkler,7.006,31.273,123.778,55.277,156.122,2.648,1.014,1.286,26.955,16.199,36.568,6.983,3.951,Favorable
559,Sandy,Hill,Sprinkler,6.622,15.204,101.091,30.98,114.022,3.325,0.76,1.544,4.034,18.653,3.04,6.977,10.315,Unfavorable
560,Loam,Hill,Sprinkler,6.559,20.854,107.875,45.622,126.021,3.765,0.933,1.392,33.932,22.8,33.817,7.518,10.752,Favorable
561,Loam,Plain,Drip,7.167,22.184,111.033,44.06,145.679,2.879,0.616,1.245,18.737,21.639,6.985,7.839,17.082,Unfavorable
562,Loam,Hill,None,6.685,20.128,95.61,50.215,237.153,0.4,1.097,1.34,14.989,8.291,28.775,8.896,7.423,Favorable
563,Sandy,Plain,Sprinkler,6.042,,82.355,58.173,106.399,1.42,0.541,1.678,3.891,23.145,7.778,9.668,2.071,Unfavorable
564,Silt,Mountain,Drip,6.065,18.814,110.632,42.725,133.083,1.361,0.948,1.238,10.896,6.316,22.69,6.804,17.444,Unfavorable
565,Loam,Plain,None,6.844,19.762,133.891,54.293,160.477,3.895,1.158,1.328,19.752,19.486,1.843,6.753,0.219,Favorable
566,Silt,Hill,Drip,6.183,23.873,80.601,19.235,154.465,2.729,0.608,1.345,21.836,17.954,34.615,7.596,8.877,Favorable
567,Sandy,Hill,Drip,6.255,26.954,104.468,27.568,119.463,4.199,0.91,1.487,1.977,18.216,5.253,7.802,5.173,Favorable
568,Sandy,Hill,None,6.704,25.063,70.067,34.18,126.449,2.792,1.43,1.72,10.098,19.091,12.08,8.489,10.199,Favorable
569,Sandy,Plain,None,7.4,28.462,83.365,29.974,119.819,3.063,1.158,1.493,7.039,19.822,52.04,8.972,2.864,Favorable
570,Loam,Mountain,None,6.434,18.846,129.74,60.978,146.086,3.219,0.927,1.275,14.732,23.866,10.209,6.415,13.881,Unfavorable
571,Sandy,Plain,Sprinkler,6.751,21.874,87.235,35.294,133.525,2.472,0.487,1.704,4.469,17.471,72.489,6.578,0.0,Favorable
572,Loam,Hill,Sprinkler,6.497,21.735,115.982,45.529,170.781,2.91,0.841,1.352,30.362,19.539,30.358,4.728,7.451,Favorable
573,Loam,Plain,None,6.966,16.481,112.076,51.325,178.892,3.404,1.448,1.352,21.385,25.342,23.799,6.56,3.145,Favorable
574,Loam,Plain,None,6.904,7.837,113.354,32.756,195.489,2.577,1.099,1.338,16.006,16.863,26.248,6.494,7.079,Unfavorable
575,Loam,Hill,Drip,6.713,27.392,96.193,56.715,134.965,3.002,0.806,1.337,22.767,16.157,16.01,8.051,10.43,Favorable
576,Clay,Plain,Sprinkler,6.962,27.316,107.74,46.36,184.11,3.597,1.238,1.471,61.013,24.804,33.8,6.115,0.0,Favorable
577,Sandy,Plain,None,6.715,29.601,96.29,48.143,120.666,,0.699,1.527,6.923,16.782,12.99,7.104,1.94,Favorable
578,Silt,Hill,Sprinkler,6.981,18.965,102.708,46.217,122.645,2.813,1.44,1.251,7.604,21.785,8.508,6.773,9.624,Favorable
579,Clay,Plain,Drip,7.005,23.349,126.316,49.132,178.723,3.035,1.179,1.415,53.594,25.989,27.152,6.463,2.052,Favorable
580,Silt,Hill,Sprinkler,6.079,25.167,127.844,50.741,165.348,2.508,0.647,1.451,18.429,15.175,7.067,6.358,11.302,Favorable
581,Loam,Plain,Sprinkler,7.131,31.65,133.934,36.204,133.909,4.378,0.886,1.096,27.241,20.704,2.479,8.968,5.957,Favorable
582,Sandy,Plain,None,6.03,17.816,82.729,30.867,101.718,2.709,0.707,1.526,21.693,10.426,28.937,6.877,3.966,Favorable
583,Sandy,Plain,None,6.505,23.466,78.031,29.771,123.556,2.976,1.065,1.518,2.13,15.706,24.171,7.743,0.994,Favorable
584,Sandy,Plain,Sprinkler,6.235,20.987,96.924,24.887,73.995,2.526,0.73,1.489,1.0,26.043,11.708,6.074,3.448,Unfavorable
585,Loam,Plain,None,6.704,20.316,124.289,51.135,185.882,3.529,1.026,1.395,20.353,17.337,24.314,5.59,6.617,Favorable
586,Sandy,Plain,Sprinkler,6.702,16.016,106.922,13.652,105.409,2.512,0.327,1.639,1.0,13.849,17.592,8.358,4.558,Unfavorable
587,Silt,Mountain,None,6.983,19.132,49.188,13.425,160.164,2.314,0.936,1.308,27.399,22.641,21.161,7.702,15.141,Unfavorable
588,Sandy,Mountain,Sprinkler,6.975,22.715,94.182,18.465,92.828,3.03,0.957,1.57,1.0,12.316,5.015,4.487,18.148,Unfavorable
589,Sandy,Plain,None,6.13,35.834,88.02,29.068,122.898,3.608,0.1,1.666,6.338,19.633,18.58,7.777,12.676,Unfavorable
590,Loam,Plain,Sprinkler,6.328,27.64,125.833,52.075,140.441,2.732,0.822,1.376,27.877,21.373,14.017,8.974,3.502,Favorable
591,Loam,Plain,Sprinkler,6.678,32.495,85.596,82.618,161.934,2.834,1.021,1.425,19.344,21.607,15.225,8.37,12.018,Favorable
592,Sandy,Mountain,None,6.463,19.267,76.719,21.585,100.316,3.704,1.013,1.487,8.202,8.086,29.246,6.687,13.03,Unfavorable
593,Sandy,Mountain,None,5.994,6.183,87.671,20.859,105.804,1.53,1.378,1.404,1.0,22.665,17.949,7.259,11.2,Unfavorable
594,Sandy,Plain,None,6.649,19.989,74.48,33.988,96.347,3.388,0.736,1.584,1.0,12.083,0.616,5.527,0.0,Favorable
595,Loam,Mountain,None,6.701,,118.668,62.798,138.418,1.2,0.949,1.288,26.901,18.022,27.872,6.156,16.34,Unfavorable
596,Clay,Plain,None,7.347,,112.187,41.411,180.198,3.003,1.379,1.449,42.37,23.856,27.112,4.986,0.0,Favorable
597,Loam,Plain,None,6.747,34.592,85.905,49.697,121.235,5.374,0.821,1.391,19.972,22.825,35.986,9.772,0.309,Favorable
598,Clay,Plain,Drip,7.269,22.796,108.908,53.046,201.326,2.131,1.676,1.325,55.438,16.611,15.176,8.541,3.48,Favorable
599,Clay,Plain,None,7.01,24.428,122.505,54.42,143.99,,1.192,1.374,37.126,17.047,17.682,6.369,10.34,Favorable
600,Sandy,Plain,None,6.183,18.841,73.621,60.281,130.511,1.83,0.444,1.538,4.224,24.476,5.766,5.768,6.119,Unfavorable
601,Clay,Plain,None,7.0,22.253,95.908,15.3,173.057,3.251,0.385,1.331,59.82,18.299,13.456,6.377,7.323,Favorable
602,Silt,Plain,None,6.716,28.897,125.984,42.776,161.119,4.435,0.833,1.361,23.596,3.897,48.291,5.31,8.025,Favorable
603,Loam,Plain,Sprinkler,6.649,25.798,143.583,53.931,126.244,4.472,1.021,1.257,24.553,16.438,17.388,8.976,9.583,Favorable
604,Sandy,Plain,Drip,5.801,23.966,74.539,17.775,128.276,,1.039,1.199,12.336,24.281,12.223,8.971,4.371,Unfavorable
605,Silt,Hill,None,7.266,19.72,100.495,61.144,135.328,3.409,1.15,1.206,21.629,13.397,2.024,8.72,13.503,Favorable
606,Loam,Plain,None,6.392,11.863,130.993,43.93,146.971,3.569,1.224,1.279,20.317,12.05,50.559,5.845,4.859,Favorable
607,Loam,Plain,Drip,6.794,25.956,120.243,29.313,210.602,3.338,0.743,1.369,23.865,22.285,61.799,5.861,7.81,Favorable
608,Sandy,Plain,Sprinkler,6.491,41.227,86.189,28.153,86.375,4.048,0.1,1.383,2.003,15.101,18.201,6.067,4.255,Favorable
609,Sandy,Hill,Drip,6.888,25.169,84.474,39.657,98.652,5.208,1.503,1.357,12.202,9.225,24.668,9.571,6.853,Favorable
610,Sandy,Plain,Sprinkler,6.469,25.692,98.502,38.917,62.198,1.408,1.1,1.62,9.515,24.696,14.769,5.496,8.853,Unfavorable
611,Sandy,Mountain,None,6.573,31.347,79.509,25.231,90.666,3.7,0.175,1.825,13.58,8.143,26.042,5.88,12.286,Unfavorable
612,Clay,Plain,Sprinkler,6.379,18.14,119.655,65.003,149.14,3.877,1.434,1.246,51.032,17.97,21.823,5.517,7.646,Favorable
613,Sandy,Hill,Drip,6.708,39.688,119.285,23.42,116.176,3.629,0.848,1.365,11.827,10.532,33.286,5.181,10.411,Favorable
614,Loam,Hill,Drip,6.304,22.051,133.573,36.063,182.045,1.302,1.111,1.409,32.949,17.815,5.658,7.559,13.353,Favorable
615,Loam,Plain,Drip,6.33,19.623,150.453,52.344,144.542,1.722,0.82,1.484,22.102,15.769,25.01,4.91,12.705,Favorable
616,Clay,Plain,None,7.475,,149.968,53.273,164.391,4.131,1.189,1.441,36.801,10.645,15.564,4.759,8.957,Favorable
617,Loam,Plain,Sprinkler,7.405,32.306,103.719,63.636,160.108,3.333,1.111,1.405,28.202,25.033,37.052,7.074,1.266,Favorable
618,Clay,Hill,Sprinkler,7.175,14.242,99.465,64.14,194.792,3.829,2.039,1.421,46.235,16.478,2.053,7.231,8.793,Unfavorable
619,Sandy,Plain,Sprinkler,6.355,21.737,62.424,47.752,84.857,3.588,0.423,1.54,10.11,24.243,10.389,5.651,6.153,Favorable
620,Clay,Plain,Sprinkler,6.934,23.42,94.172,56.696,165.549,3.408,1.402,1.459,53.948,19.704,38.105,10.226,3.827,Favorable
621,Loam,Hill,Sprinkler,7.151,21.676,106.197,42.297,126.269,3.551,0.885,1.452,21.772,19.887,28.687,6.87,9.594,Favorable
622,Sandy,Hill,None,5.983,26.304,99.848,33.533,108.539,0.4,0.893,1.551,5.334,17.729,12.812,6.607,3.281,Unfavorable
623,Loam,Mountain,None,6.944,17.217,79.527,70.738,167.363,1.915,1.332,1.128,17.225,5.57,59.275,6.739,13.971,Favorable
624,Loam,Plain,Sprinkler,7.356,23.273,118.79,57.22,194.752,2.43,1.186,1.294,29.148,12.828,9.562,7.32,2.742,Favorable
625,Sandy,Hill,None,6.831,12.559,98.257,32.02,107.235,2.73,0.499,1.526,21.12,15.541,19.615,8.239,8.714,Favorable
626,Sandy,Plain,None,5.628,25.893,63.949,58.193,128.816,4.146,0.563,1.595,22.151,20.119,23.395,8.68,0.0,Unfavorable
627,Clay,Hill,Drip,6.489,31.55,84.195,57.335,106.651,3.455,1.205,1.319,46.749,16.941,13.436,6.265,9.929,Favorable
628,Sandy,Mountain,Drip,6.174,23.775,58.287,26.107,104.199,2.522,0.683,1.683,8.079,24.854,46.675,6.59,24.032,Unfavorable
629,Sandy,Plain,None,6.687,27.448,77.306,19.007,139.201,1.918,0.781,1.856,16.542,26.167,14.352,7.778,12.638,Unfavorable
630,Sandy,Plain,Sprinkler,5.99,24.092,89.143,37.15,167.574,3.015,0.371,1.345,4.672,17.845,18.23,7.377,9.558,Unfavorable
631,Silt,Plain,Drip,6.829,26.913,95.54,30.571,185.906,3.184,0.857,1.316,13.375,13.185,59.558,9.912,7.324,Favorable
632,Silt,Plain,None,6.541,21.281,123.811,47.444,120.224,3.76,0.368,1.327,17.641,10.884,23.198,8.755,9.432,Favorable
633,Loam,Hill,Sprinkler,6.826,29.824,112.718,46.239,148.379,4.593,0.941,1.364,22.822,19.684,13.891,7.595,10.922,Favorable
634,Loam,Plain,None,6.301,22.901,89.291,25.855,136.496,0.946,1.039,1.496,26.047,22.694,30.95,8.712,4.448,Favorable
635,Sandy,Plain,Drip,5.999,30.216,101.831,19.893,84.009,,0.922,1.445,1.0,14.915,60.704,7.97,0.0,Favorable
636,Sandy,Plain,None,6.486,16.906,136.412,47.666,110.598,4.519,0.773,1.396,23.968,16.333,25.81,7.654,8.003,Favorable
637,Silt,Plain,Drip,6.751,37.558,83.89,26.833,136.426,3.471,0.687,1.214,11.545,22.963,25.601,7.773,3.435,Favorable
638,Loam,Hill,Sprinkler,6.03,,115.572,46.649,173.941,2.911,0.965,1.314,26.434,23.682,29.654,6.845,0.0,Favorable
639,Clay,Plain,Sprinkler,7.235,28.398,111.868,66.08,163.49,4.027,1.322,1.462,40.71,14.099,7.994,9.033,4.871,Favorable
640,Loam,Plain,Sprinkler,7.746,17.698,130.468,45.712,139.817,1.819,1.426,1.439,20.781,18.107,2.615,6.616,4.428,Unfavorable
641,Clay,Plain,Sprinkler,6.997,,86.939,41.571,194.003,,1.426,1.38,52.942,17.166,17.373,8.199,8.953,Favorable
642,Clay,Plain,Sprinkler,7.392,23.471,102.591,56.484,180.969,2.105,1.28,1.353,43.149,9.946,17.681,9.066,0.607,Unfavorable
643,Loam,Plain,Sprinkler,6.951,31.168,101.489,50.193,206.66,3.229,1.648,1.282,30.409,13.968,8.973,7.541,4.651,Favorable
644,Clay,Hill,Drip,7.273,21.423,90.877,54.465,191.713,3.607,0.949,1.501,52.829,21.381,14.616,6.973,16.901,Favorable
645,Silt,Plain,Drip,6.688,29.506,122.423,45.457,145.39,1.475,0.923,1.161,15.497,30.019,4.231,5.428,5.72,Favorable
646,Loam,Plain,None,7.566,24.873,113.026,42.136,178.138,3.012,0.862,1.303,14.38,21.722,34.796,7.3,13.794,Favorable
647,Loam,Plain,None,7.414,24.348,108.318,59.138,183.669,3.07,1.056,1.393,22.746,26.07,23.862,7.962,11.145,Favorable
648,Clay,Plain,Drip,7.249,27.53,93.961,63.44,201.393,1.577,1.208,1.271,51.041,27.96,12.592,7.148,5.143,Favorable
649,Clay,Plain,Sprinkler,6.992,24.082,122.875,57.439,134.003,4.162,1.636,1.475,51.821,13.865,14.181,9.897,0.629,Favorable
650,Loam,Plain,None,6.607,17.196,126.392,39.441,149.296,1.454,1.702,1.312,27.189,10.923,27.322,5.919,15.051,Favorable
651,Sandy,Plain,Sprinkler,7.166,28.533,89.638,16.627,153.621,3.303,0.763,1.53,8.605,22.683,20.604,7.825,0.0,Favorable
652,Silt,Hill,Sprinkler,6.533,23.551,105.115,50.324,87.051,,0.655,1.468,11.293,20.513,12.331,5.998,4.438,Favorable
653,Sandy,Plain,None,6.285,17.63,107.631,26.718,101.022,1.014,0.92,1.476,15.477,12.312,10.375,7.586,2.028,Unfavorable
654,Loam,Plain,None,6.748,30.005,99.132,60.423,177.313,2.329,1.011,1.381,16.127,20.532,30.49,6.955,5.993,Favorable
655,Loam,Hill,None,6.648,17.817,137.424,27.506,137.355,1.926,0.745,1.235,19.146,12.583,23.466,8.956,12.738,Favorable
656,Clay,Hill,Drip,6.953,29.836,111.131,36.934,166.277,2.73,1.342,1.451,42.073,11.909,21.051,5.172,11.827,Favorable
657,Silt,Hill,None,6.726,11.426,146.399,47.715,126.693,1.959,1.408,1.364,19.574,14.508,9.916,4.734,2.491,Unfavorable
658,Loam,Plain,None,7.176,34.939,136.533,71.717,170.375,1.671,0.597,1.279,21.898,18.695,24.967,9.386,8.184,Favorable
659,Silt,Hill,None,6.601,17.545,109.716,59.816,148.918,3.037,0.822,1.355,8.616,16.987,19.317,7.702,10.155,Favorable
660,Clay,Hill,None,7.237,13.353,115.687,46.628,174.803,2.56,1.439,1.295,53.475,22.309,11.181,5.694,4.883,Favorable
661,Clay,Plain,None,6.481,20.123,95.851,49.876,171.305,4.519,0.869,1.451,48.644,16.142,19.393,5.5,0.0,Favorable
662,Clay,Mountain,None,7.673,8.153,111.466,52.741,188.985,2.17,0.607,1.365,46.984,12.073,28.843,8.191,13.625,Unfavorable
663,Loam,Mountain,None,6.632,23.831,96.533,67.375,149.481,3.148,0.732,1.307,22.461,13.135,10.299,7.718,12.199,Favorable
664,Sandy,Mountain,None,5.975,12.256,86.614,13.42,140.208,2.388,0.53,1.389,9.932,19.284,17.97,7.077,14.75,Unfavorable
665,Sandy,Plain,Sprinkler,6.472,20.409,62.821,36.416,102.169,3.31,1.177,1.448,1.0,27.671,13.872,9.21,1.856,Favorable
666,Sandy,Mountain,None,6.339,26.581,88.654,30.158,89.589,1.699,1.217,1.494,4.938,17.657,11.212,7.169,11.572,Unfavorable
667,Silt,Hill,None,6.142,17.278,67.462,37.339,105.783,2.601,1.254,1.279,14.697,20.886,13.605,6.484,5.078,Favorable
668,Sandy,Hill,None,6.084,8.92,105.556,26.896,117.632,1.433,0.465,1.579,8.032,25.653,3.271,5.343,6.367,Unfavorable
669,Loam,Hill,None,7.12,19.627,156.649,57.976,179.29,3.53,1.128,1.322,36.564,17.749,25.106,7.229,10.883,Favorable
670,Loam,Plain,None,7.196,,107.137,64.444,171.959,4.223,0.876,1.51,22.724,12.683,4.662,6.054,8.88,Favorable
671,Loam,Plain,None,6.378,,123.712,36.657,152.182,1.991,0.861,1.499,29.982,18.885,48.548,6.149,2.296,Favorable
672,Silt,Plain,Drip,7.236,34.774,143.16,46.725,180.467,2.244,1.031,1.354,12.463,21.591,9.401,9.206,0.0,Favorable
673,Loam,Plain,None,6.978,21.117,111.799,71.235,161.289,2.516,0.716,1.553,15.827,13.701,15.544,6.846,6.543,Favorable
674,Clay,Plain,None,6.964,20.405,121.408,44.443,147.953,2.512,1.006,1.538,40.495,22.26,13.944,7.239,7.096,Favorable
675,Loam,Mountain,Sprinkler,6.158,39.21,74.889,36.573,154.213,2.497,0.462,1.234,27.9,9.48,27.811,8.153,12.286,Unfavorable
676,Loam,Hill,Drip,6.974,37.442,120.498,62.006,133.338,3.813,1.082,1.387,24.743,22.017,8.068,8.956,5.198,Favorable
677,Silt,Plain,None,7.349,18.311,140.32,46.98,127.022,3.653,0.63,1.28,11.092,25.87,32.7,7.257,5.146,Favorable
678,Loam,Plain,Sprinkler,7.133,25.373,139.894,56.408,136.144,3.416,0.759,1.439,32.689,18.91,32.095,6.976,10.107,Favorable
679,Loam,Hill,None,6.512,19.92,131.797,45.198,126.241,3.023,1.225,1.483,37.441,18.464,18.73,8.079,13.031,Favorable
680,Clay,Mountain,None,7.089,,83.881,51.869,144.159,3.112,0.65,1.379,39.0,17.715,14.082,8.598,20.504,Unfavorable
681,Loam,Plain,None,6.461,20.634,119.748,58.683,162.303,3.857,1.336,1.455,21.214,16.557,3.648,5.517,0.0,Favorable
682,Sandy,Mountain,Sprinkler,6.63,34.222,97.941,24.753,98.321,2.334,0.368,1.532,3.665,22.24,10.506,6.848,13.425,Unfavorable
683,Clay,Hill,None,6.755,17.873,117.307,52.64,128.821,2.898,1.73,1.325,54.611,14.22,19.972,5.9,2.473,Favorable
684,Loam,Mountain,None,6.5,15.887,112.857,55.404,108.551,3.232,1.497,1.324,12.11,15.478,14.216,5.491,21.292,Unfavorable
685,Loam,Hill,Sprinkler,7.08,18.997,78.311,62.119,224.097,4.053,1.285,1.378,17.557,17.384,8.626,8.959,13.642,Favorable
686,Sandy,Plain,Drip,6.358,22.567,78.133,40.576,99.902,4.784,0.1,1.606,6.931,17.369,31.669,7.202,1.205,Favorable
687,Loam,Plain,None,7.011,20.663,154.132,65.951,180.662,3.24,0.526,1.304,23.476,13.478,9.444,7.57,13.479,Favorable
688,Sandy,Plain,Drip,6.151,18.902,105.351,36.782,106.576,3.962,0.45,1.526,8.126,16.831,10.701,6.892,0.0,Favorable
689,Loam,Plain,None,7.151,14.66,102.681,58.077,168.654,3.839,1.021,1.424,32.989,22.47,10.031,8.883,4.074,Favorable
690,Sandy,Plain,None,6.7,17.576,124.443,13.242,176.267,2.87,0.261,1.501,1.0,17.637,4.8,6.846,0.0,Unfavorable
691,Silt,Mountain,None,6.349,21.079,97.775,45.667,160.305,0.433,1.126,1.29,20.163,21.861,8.69,5.82,20.993,Unfavorable
692,Loam,Mountain,None,7.322,21.284,95.673,50.229,134.146,2.046,0.836,1.515,19.18,15.544,27.704,5.972,15.258,Unfavorable
693,Loam,Mountain,Sprinkler,6.572,27.866,95.977,38.987,90.303,3.488,0.871,1.241,35.712,17.115,33.395,6.999,11.382,Favorable
694,Loam,Hill,Sprinkler,7.41,,125.702,66.594,194.411,4.537,0.62,1.425,22.027,22.541,21.894,6.912,9.285,Favorable
695,Loam,Plain,Sprinkler,6.775,,133.575,58.525,136.046,4.102,1.324,1.352,24.664,14.682,6.687,6.394,9.703,Favorable
696,Sandy,Mountain,None,6.685,21.434,84.734,15.956,99.348,2.694,0.586,1.414,18.97,5.7,12.509,7.776,17.559,Unfavorable
697,Loam,Plain,Sprinkler,6.469,29.847,102.259,83.45,181.619,2.398,0.781,1.454,23.431,12.023,70.503,5.99,7.633,Favorable
698,Loam,Hill,None,7.231,22.909,90.925,54.398,175.836,4.388,1.032,1.184,27.995,14.03,54.616,8.238,14.317,Favorable
699,Sandy,Mountain,None,6.26,25.879,87.916,27.554,138.397,2.26,0.883,1.622,4.138,17.912,31.672,7.008,18.649,Unfavorable
700,Clay,Plain,None,7.4,18.196,98.036,78.153,176.956,1.307,1.537,1.382,50.203,17.218,19.385,5.655,1.747,Favorable
701,Sandy,Plain,Drip,6.448,22.496,72.318,26.202,129.416,2.091,0.787,1.498,5.514,19.424,28.21,8.187,0.028,Favorable
702,Loam,Hill,Sprinkler,6.779,,69.528,35.434,171.866,0.4,1.216,1.328,23.21,15.421,25.229,6.02,11.454,Favorable
703,Silt,Hill,Sprinkler,7.034,28.259,91.95,45.48,149.349,2.749,1.421,1.206,17.202,17.171,16.766,7.483,3.657,Favorable
704,Sandy,Hill,None,7.141,9.15,97.738,20.816,84.367,1.612,0.824,1.465,8.861,12.302,21.586,6.393,0.0,Unfavorable
705,Clay,Plain,Drip,6.924,34.398,95.256,53.676,183.353,3.37,0.772,1.395,45.545,25.373,22.977,7.389,10.326,Favorable
706,Sandy,Plain,None,6.666,32.923,63.024,42.191,107.123,2.774,0.66,1.703,9.086,27.65,17.734,6.295,0.0,Unfavorable
707,Loam,Hill,None,6.485,21.733,102.38,57.955,166.045,2.862,0.735,1.229,26.174,29.511,15.855,5.151,20.061,Unfavorable
708,Loam,Plain,Sprinkler,6.771,36.799,129.597,64.368,156.839,5.125,0.801,1.351,28.673,19.325,28.635,4.504,1.956,Favorable
709,Loam,Plain,None,6.425,22.076,129.342,73.48,173.398,2.832,1.086,1.35,15.539,19.146,20.553,9.912,7.12,Favorable
710,Loam,Hill,Sprinkler,6.316,32.0,112.793,67.047,162.295,3.164,0.45,1.257,19.879,21.55,35.347,7.338,15.254,Favorable
711,Silt,Plain,Drip,6.378,,167.952,46.802,155.757,4.303,1.189,1.324,20.721,14.708,6.519,6.669,0.0,Favorable
712,Sandy,Hill,None,6.527,,73.217,28.543,116.518,2.476,1.348,1.694,5.197,27.909,24.664,5.861,7.937,Favorable
713,Clay,Plain,Sprinkler,6.497,23.122,117.304,30.019,204.593,3.083,1.171,1.565,49.071,10.163,31.715,6.516,7.245,Favorable
714,Loam,Plain,Drip,6.999,30.155,128.12,43.452,176.494,4.329,0.551,1.23,26.915,18.435,38.886,7.363,13.654,Favorable
715,Loam,Plain,None,6.51,,91.938,72.918,151.902,2.43,1.324,1.439,22.037,20.199,29.287,8.432,1.817,Favorable
716,Loam,Plain,Sprinkler,5.992,19.754,113.526,66.303,149.518,1.559,0.636,1.507,22.929,17.081,1.664,8.827,2.684,Unfavorable
717,Loam,Mountain,None,5.923,16.728,97.707,43.446,171.43,0.4,1.228,1.357,30.978,9.152,6.787,6.056,8.812,Unfavorable
718,Sandy,Hill,None,6.346,18.953,97.71,53.865,150.337,,0.858,1.502,11.737,18.307,2.433,10.182,4.541,Unfavorable
719,Sandy,Hill,None,5.704,20.299,104.976,46.59,141.978,2.263,0.564,1.684,16.755,17.604,8.236,7.842,3.539,Unfavorable
720,Sandy,Plain,None,7.37,17.979,84.903,29.802,168.58,3.598,0.944,1.588,13.348,15.83,6.243,3.456,0.0,Unfavorable
721,Clay,Plain,None,7.162,,125.644,42.543,156.326,2.974,1.431,1.34,46.146,9.053,36.569,9.457,3.314,Favorable
722,Loam,Plain,Drip,7.166,34.114,150.448,55.44,200.868,3.716,0.92,1.192,33.785,16.235,28.276,6.852,4.849,Favorable
723,Loam,Mountain,None,6.657,19.077,102.681,39.467,157.812,2.83,1.476,1.244,36.953,20.157,12.015,3.272,16.326,Unfavorable
724,Sandy,Mountain,None,6.928,25.228,81.559,40.417,77.065,2.352,0.638,1.541,3.634,17.368,20.032,8.103,15.309,Unfavorable
725,Loam,Plain,Sprinkler,6.971,,100.45,67.883,142.256,2.201,1.356,1.341,26.306,23.667,21.999,7.905,7.17,Favorable
726,Sandy,Mountain,Sprinkler,5.687,15.141,55.243,16.45,75.995,1.785,0.864,1.319,19.596,19.285,32.03,7.84,15.346,Unfavorable
727,Sandy,Hill,Sprinkler,6.647,30.78,82.66,41.753,107.966,2.075,1.342,1.578,19.42,12.453,14.84,5.817,4.114,Favorable
728,Sandy,Plain,None,7.437,15.686,89.092,38.433,141.923,2.39,0.871,1.665,10.425,16.458,31.13,7.957,0.0,Favorable
729,Silt,Plain,None,5.91,18.991,109.051,34.269,114.458,2.836,1.079,1.105,10.099,16.298,29.013,7.764,6.081,Unfavorable
730,Loam,Mountain,Sprinkler,6.695,25.209,94.459,46.468,165.041,2.158,1.617,1.309,22.499,18.149,90.0,7.339,16.243,Favorable
731,Loam,Plain,None,6.746,30.242,118.856,30.444,214.921,3.576,1.149,1.353,25.562,22.211,15.035,6.365,3.853,Favorable
